num;ethnie;langue
1;Anglo-American;English
2;African;Bantu, Fante, Kongo, Ashanti, Zulu, Swahili
3;Japanese/Korean;Japanese or Korean
4;Central European/Soviet;Bulgarian, Russian, Czech, Polish, Ukranian, Slovak
5;Pacific Islander;Microneasian, Tagalog, Polynesian, Malayan, Sudanese, Indonesian, Hawaiian
6;Chinese/Southeast Asian;Burmese, Cantonese, Mandarin, Thai, Tibetan, Vietnamese
7;Black American;English, Blackfolk
8;Hispanic American;Spanish, English
9;Central /South American;Spanish, Portuguese
10;European;French, German, English, Spanish, Italian, Greek, Danish, Dutch, Norwegian, Swedish, Finnish
