num;texte
1; Passée dans la Rue, sans surveillance adulte
2; Passée dans une banlieue corporatiste sûre (Corporate Suburbia)
3; Dans un Nomad Pack se déplaçant de ville en ville
4; Dans un quartier autrefois chic, maintenant en décomposition
5; Dans une Zone Corporatiste défendue du centre-ville
6; Au cœur de la Combat Zone
7; Dans un petit village ou une ville loin de la Cité
8; Dans une grande ville arcologique
9; Dans un Pack de Pirates Aquatiques
10;Dans une ferme ou un centre de recherche contrôlé par une Corporation
