Statistique;Competence;Sous-competence
Classe;Esthétique;Esthétique;Jack Sparrow
Classe;Garde-robe;Garde-robe;Jack Sparrow
Intelligence;Finance;Comptabilité;Jack Sparrow
Intelligence;Finance;Trading;Jack Sparrow
Intelligence;Humanités;Histoire;Jack Sparrow
Intelligence;Humanités;Droit;Jack Sparrow
Intelligence;Informatique;Développement;Jack Sparrow
Intelligence;Informatique;Sys Admin.;Jack Sparrow
Intelligence;Instincts;Fuite;Jack Sparrow
Intelligence;Instincts;Jeux d'argent;Jack Sparrow
Intelligence;Instincts;Perspicacité;Jack Sparrow
Intelligence;Instincts;Survie;Jack Sparrow
Intelligence;Instincts;Traque;Jack Sparrow
Intelligence;Langues;Langue XX;Jack Sparrow
Intelligence;Musique;Composition;Jack Sparrow
Intelligence;Sciences;Biologie;Jack Sparrow
Intelligence;Sciences;Botanique;Jack Sparrow
Intelligence;Sciences;Géologie;Jack Sparrow
Intelligence;Sciences;Mathématiques;Jack Sparrow
Intelligence;Sciences;Médecine;Jack Sparrow
Intelligence;Sciences;Physique;Jack Sparrow
Intelligence;Sciences;Zoologie;Jack Sparrow
Psychologie;Empathie;Empathie;Jack Sparrow
Psychologie;Interview;Interview;Jack Sparrow
Psychologie;Leadership;Leadership;Jack Sparrow
Psychologie;Performance;Performance;Jack Sparrow
Psychologie;Persuasion;Persuasion;Jack Sparrow
Psychologie;Séduction;Séduction;Jack Sparrow
Psychologie;Sociabilité;Sociabilité;Jack Sparrow
Puissance;Athlétisme;Athlétisme;Jack Sparrow
Puissance;Escalade;Escalade;Jack Sparrow
Puissance;Force;Force;Jack Sparrow
Puissance;Natation;Natation;Jack Sparrow
Réflexes;Bagarre;Art martial;Jack Sparrow
Réflexes;Bagarre;Couteau;Jack Sparrow
Réflexes;Bagarre;Escrime;Jack Sparrow
Réflexes;Bagarre;Esquive;Jack Sparrow
Réflexes;Bagarre;Melée;Jack Sparrow
Réflexes;Motricité;Danse;Jack Sparrow
Réflexes;Motricité;Discrétion;Jack Sparrow
Réflexes;Pilotage;Avion;Jack Sparrow
Réflexes;Pilotage;Drone;Jack Sparrow
Réflexes;Pilotage;Gyrocopter;Jack Sparrow
Réflexes;Pilotage;Moto;Jack Sparrow
Réflexes;Pilotage;Poids lourds;Jack Sparrow
Réflexes;Pilotage;Propulsion;Jack Sparrow
Réflexes;Pilotage;Voiture;Jack Sparrow
Réflexes;Tir;Archerie;Jack Sparrow
Réflexes;Tir;Arme de poing;Jack Sparrow
Réflexes;Tir;Arme lourde;Jack Sparrow
Réflexes;Tir;Fusil;Jack Sparrow
Réflexes;Tir;Mitraillette;Jack Sparrow
Sang-Froid;Discours;Discours;Jack Sparrow
Sang-Froid;Interrogatoire;Interrogatoire;Jack Sparrow
Sang-Froid;Intimidation;Intimidation;Jack Sparrow
Sang-Froid;Resist Torture/Drogues;Resist Torture/Drogues;Jack Sparrow
Sang-Froid;Streetwise;Streetwise;Jack Sparrow
Technique;Arts;Déguisement;Jack Sparrow
Technique;Arts;Dessin  ;Jack Sparrow
Technique;Arts;Falsification;Jack Sparrow
Technique;Arts;Musicien;Jack Sparrow
Technique;Arts;Pick Pocket;Jack Sparrow
Technique;Bricolage;Armurerie;Jack Sparrow
Technique;Bricolage;Crochetage;Jack Sparrow
Technique;Bricolage;Electricité;Jack Sparrow
Technique;Bricolage;Electronique;Jack Sparrow
Technique;Chimie;Chimie;Jack Sparrow
Technique;Chimie;Démolition;Jack Sparrow
Technique;Chimie;Pharmacopée;Jack Sparrow
Technique;Chimie;Photo & Film;Jack Sparrow
Technique;Technologies;Aero Tech;Jack Sparrow
Technique;Technologies;Basic Tech;Jack Sparrow
Technique;Technologies;CyberTech;Jack Sparrow
Technique;Technologies;Gyro Tech;Jack Sparrow
