num;ethnie;langue
1;Anglo-Americain;Anglais
2;Africain;Bantu, Fante, Kongo, Ashanti, Zulu, Swahili
3;Japonais/Coréen;Japanese or Korean
4;Europe Centrale;Bulgarian, Russian, Czech, Polish, Ukranian, Slovak
5;îles du Pacifique;Microneasian, Tagalog, Polynesian, Malayan, Sudanese, Indonesian, Hawaiian
6;Chine/Sud-est asiatique;Burmese, Cantonese, Mandarin, Thai, Tibetan, Vietnamese
7;AfroAméricain;English, Blackfolk
8;Latinx;Spanish, English
9;Amérique du sud et centrale;Spanish, Portuguese
10;Européen;French, German, English, Spanish, Italian, Greek, Danish, Dutch, Norwegian, Swedish, Finnish
